Name,Province,UNLCODE,Latitude,Longitude,VesselInPort,ExpectedArrival,RecentPortCalls,Type
JAMPEA,SULAWESI SELATAN,-,-7.0581,120.61,0,0,0,PORT 
BENTENG,SULAWESI SELATAN,-,-6.1166,120.4512,0,0,0,PORT
MAKASSAR ANCH,SULAWESI SELATAN,-,-5.1195,119.3628,17,0,22,ANCHORAGE
MAKASSAR,SULAWESI SELATAN,IDMAK,-5.1236,119.4177,29,13,29,PORT
BIRINGKASSI ANCH,SULAWESI SELATAN,-,-4.8226,119.463,9,0,3,ANCHORAGE
BIRINGKASSI,SULAWESI SELATAN,IDBIR,-4.8173,119.4832,5,1,1,PORT
BAJOE,SULAWESI SELATAN,-,-4.5457,120.4049,0,0,0,PORT
GARONGKONG,SULAWESI SELATAN,-,-4.3684,119.6116,0,1,0,PORT
GARONGKONG ANCH,SULAWESI SELATAN,-,-4.3606,119.6013,1,0,0,ANCHORAGE
PAREPARE,SULAWESI SELATAN,IDPAP,-4.0091,119.6256,1,3,2,PORT
PALOPO,SULAWESI SELATAN,IDPPO,-3.0448,120.2479,0,0,1,PORT
PALOPO ANCH,SULAWESI SELATAN,-,-3.0457,120.3365,1,0,1,ANCHORAGE
MALILI,SULAWESI SELATAN,IDMLI,-2.6406,121.0865,0,2,0,PORT
MALILI ANCH,SULAWESI SELATAN,-,-2.7144,121.0317,0,0,0,ANCHORAGE
MANGKASA,SULAWESI SELATAN,-,-2.7392,121.0668,0,0,0,PORT
MANGKASA ANCH,SULAWESI SELATAN,-,-2.7462,121.0404,0,0,0,ANCHORAGE
KOLAKA,SULAWESI TENGGARA,IDKOL,-4.0555,121.5782,0,1,1,PORT
KOLAKA ANCH,SULAWESI TENGGARA,-,-4.0679,121.5436,0,0,0,ANCHORAGE
POMALAA ANCH,SULAWESI TENGGARA,-,-4.1589,121.5839,0,0,0,ANCHORAGE
POMALAA,SULAWESI TENGGARA,IDPUM,-4.1746,121.5984,0,1,0,PORT
BATU PUTIH,SULAWESI TENGGARA,-,-4.7929,121.6282,0,1,0,PORT
BAUBAU,SULAWESI TENGGARA,IDBUW,-5.4578,122.5954,2,8,9,PORT
RAHA,SULAWESI TENGGARA,IDRAQ,-4.835,122.7353,0,0,0,PORT
KENDARI,SULAWESI TENGGARA,IDKDI,-3.9778,122.5878,40,9,55,PORT
BAHUDOPI,SULAWESI TENGAH,IDBAH,-2.8077,122.1647,6,50,1,PORT
TANJUNG MERPATI,SULAWESI TENGAH,-,-1.9976,121.4424,4,0,3,PORT
MIGAS LNG BATUI,SULAWESI TENGAH,-,-1.2564,122.5858,4,0,0,PORT
